trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
449,False,"{'a': 0.9, 'e': 4.9602928556902e-06}",20,14,10.514547403404515,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.9, 'e': 4.938271604938272e-06}",20,9,19.3773006784857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.9, 'e': 4.9163966745492895e-06}",25,16,17.73797220704513,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.9, 'e': 4.894666771086224e-06}",25,0,40.55216874026809,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.9, 'e': 4.8730806153726205e-06}",25,15,20.1515550929921,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.9, 'e': 4.851636942304334e-06}",30,10,28.6480306323346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.9, 'e': 4.830334500664171e-06}",30,22,16.797635101267772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.9, 'e': 4.809172052939366e-06}",30,16,13.476887882795825,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
457,False,"{'a': 0.9, 'e': 4.788148375141849e-06}",30,20,17.3018436706766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.9, 'e': 4.767262256631262e-06}",20,3,-13.271190510395073,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
459,False,"{'a': 0.9, 'e': 4.746512499940669e-06}",25,3,-12.931362873574102,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
460,False,"{'a': 0.9, 'e': 4.7258979206049145e-06}",20,6,21.804232616272103,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.9, 'e': 4.705417346991592e-06}",20,0,27.425541538390885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
462,False,"{'a': 0.9, 'e': 4.685069620134555e-06}",20,6,23.90307248203804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
